Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
San Francisco Harbor,Paintings,00506,William Alexander Coulter,Oil on canvas,24 x 48 in,,painting; realism; harbor; water; shoreline; sailing ships; Signed
Old China with Chrysanthemums,Paintings,00232,Otari Shiuk; Russia,Oil on canvas,32 x 28 in,1979,painting; still life; vase; flowers; cup; signed
Herding Cattle,Paintings,00214,,Oil on canvas,25 x 26 in,,painting; landscape; people; cattle
Racing Towards Home,Paintings,00831,John Henry Rouson,Oil on canvas,Width,1995-1999,printed signature
"1850's Oil on Canvas, Untitled Lush Forest Scene",Paintings,00878,,Oil on canvas,"14 x 21.5 in, frame",Circa 1850,painting; exterior; forest; trees; water; tree stump; water; stream; Signed lower left (unreadable)
Le Chemin de Sevres (The Road to Sevres),Paintings,00460,Jean Baptiste Camille Corot,Oil on canvas,34.00 x 49.00 cm,1796-1875,"painting; landscape; road; horse; riding; trees; fence; Signed lower right; Inventory number ""RF 1352"" stenciled on back of the canvas"
Cupid Surrounded by Five Women,Paintings,01030,,Oil on porcelain,9 x 11 in,Circa 1860,"painting; exterior; nude women; nude boy; Cupid; garden; ""KPM"" stamped on back"
Gardens at the Aristos,Paintings,01046,Max Moran,Oil on canvas,20 x 30 inches,,
Virgen de Belen (Virgin of Belen),Paintings,01146,Jose Campeche y Jordan,Oil on canvas,12 3/8in. x 9 1/2in. (with frame); 9 3/16in. x 6 3/16in. (without frame),,Inscription on back
Les Bouquinistes,Paintings,00905,Edouard Cortes,Oil on canvas,13 x 18 in,1882-1969,"painting; cityscape; street; Notre Dame; people; walking; Paris, France; signed"
Le Nombril,Paintings,00040,Gil Bruvel,Oil on linen,36 x 29 in,1988,painting; modern art; nude woman; reclining; dragonfly; signed and dated lower right
Through Studio Window Vineyard Harbor,Paintings,01046,Max Moran,Oil on canvas,24 x 30 in,1989-1991,
Early Spring - Washington's Headquarters,Paintings,00610,Karl Kuerner,Watercolor on paper,24 x 36 in,20th Century,painting; exterior; historic; building; stone; trees; signed
Virgen Guadalupe,Paintings,01142,Unknown,Oil on canvas,Height,18th Century,
Untitled Arlene Slavin Painting of Birds on Red Background,Paintings,00628,Arlene Slavin,Paint on canvas,44.5 x 32.5 in,1970's-1980's,painting; bird
Alaskan Ranch House,Paintings,00600,Sydney Laurence,Oil on canvas,16 x 20 in,,painting; cabin; trees; mountains; signed
Conisbrough Castle,Paintings,00947,John Piper,"Watercolor, mixed media.",22.25 inches X 30 inches (56.5 cm X 76.2 cm),1981,Signed lower right corner.
Mr. and Mrs. Kelekian at the Table,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; man; woman; sitting; eating; table; flowers; Signed lower right ""A. Blatas"""
Clouds Over Forms,Paintings,00006,Alexander Calder,Gouache,100.62 x 67.50 cm,1962,painting; abstract art; black; red; signed and dated lower right
Paris Street Scene,Paintings,01002,Xavier Martinez,Oil on canvas,6.75 x 5.75 in,1899,painting; cityscape
Cavalier With Sword,Paintings,01016,Jean Louis Ernest Meissonier,Oil on panel,16 x 8 in,19th Century,painting; man; standing; helmet; sword
The Discussion,Paintings,00422,Louis Moeller,Oil on canvas,8 x 10 in,1800s,"painting; portrait; artist's signature, lower right; paint flaking off lower left corner; gold frame"
Junk Yard in Winter,Paintings,00953,Aaron Bohrod,Oil,29 x 35 in,Circa 1935,"painting; exterior; building; winter; snow; men; Signed lower right ""Aaron Bohrod""; Reverse tag data"
Summertime - Collecting Wildflowers - 1902,Paintings,00786,Peder Mork Monsted,Oil on canvas,12.5 x 9.5 in,1902,painting; exterior; flowers; trees; women; two; hats; field; Signed and dated lower left
Giverny Bridge,Paintings,00026,Albert Malet,Oil on canvas,18 x 21 in,20th Century,painting; French; impressionism; bridge; water; flowers; trees; Signed lower right
Iris Constata/Iris a Crete,Paintings,00607,Pierre-Joseph Redoute,Watercolor on paper,13.5 x 19 in,,"painting; flower; Signed lower left ""Pierre-Joseph Redoute"""
Change of Winds,Paintings,00884,Adolfo,Acrylic on canvas,63 x 55 in,1995,painting; abstract art; yellow; red; blue; black; white
Interior Scene (Three People),Paintings,00828,Japan; Toyokuni II,Watercolor on paper,9 x 14 in,1777-1835,"Asian; interior; Samurai warrior; woman; kimono; bird; sword; Red rectangular balloon with inscription in upper right. Signed lower right, two censor seals and publisher's mark."
Stations of the Cross - 2,Paintings,00444,Ben Stahl,,9' x 6',,painting; religious; Jesus Christ; cross; horse; crowd
17th Century Madonna oil painting,Paintings,00734,Unknown,Oil painting,36 x 27in,17th Century,Black and gold leaf wood frame that is not original Small dove on the upper left side corner that was restored from an apparent gun shot. Good to excellent condition. Some crackling but has been nicely restored
Unknown Nude,Paintings,00020,Lampr,Oil on canvas,28 x 22 in,,painting; nude woman; portrait; left facing; brunette; signed
Sideshow,Paintings,00006,Alexander Calder,Gouache,73.75 x 108.12 cm,1976,painting; modern art; elephants; people; Signed and dated lower right
The Bathers,Paintings,00722,Jules Scarlett,,36 x 36 in,,painting
First Station of the Cross,Paintings,00479,,Oil on copper,Length,19th Century,"at bottom of the painting ""PRIM ESTACION"""
Women and Giraffe,Paintings,00006,Alexander Calder,Gouache,73.75 x 106.25 cm,1964,painting; modern art; women; standing; giraffe; Signed and dated lower right
Coit Study #2,Paintings,00953,Edward W. Johanson,Watercolor,7.5 x 10.5 in,1934,"painting, exterior; farm; windmill; fence; Label on verso"
A Straw for Two,Paintings,00977,Martin Matje,Watercolor,7 x 3 in,1998,"painting; illustration; door; figure; running; Signed ""Martin"""
"A Wave Breaking on the Shore, Belle Ile",Paintings,00448,John Peter Russell,Oil on canvas,46.50 x 65.00 cm,1875-1930,"painting; impressionism; water; waves; beach; Signed verso upper left ""J. Russell"""
Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; paint; automobile; hood,42 x 48 in,1990s,painting; face; modern art; Small ID number on back
Portrait of Prince Shojun,Paintings,00436,Japan,,171.00 x 130.90 cm,18th century,painting; Asian; man; beard; royalty; crown; figures; Okinawa
Madonna and Child,Paintings,00457,Studio of Giovanni Bellini,Oil on panel,40.60 x 35.00 cm,15th Century,painting; Jesus Christ; Virgin Mary; bird; unsigned
Mountains,Paintings,00953,Harris Shelton,Oil,29.5 x 39.5 in,Circa 1935,"painting; landscape; mountains; Signed ""Harris Shelton"" lower left; Label near top right verso"
Gloucester Pier,Paintings,00386,Frank Duveneck,Oil on canvas,32 x 40 in,1885-1887,painting; seascape; harbor; dock; sailboat; men; barrels; signed on back
San Pedro,Paintings,00964,Dr. E. R. Lambertson,Oil on canvas,24 x 30 in,1900-1961,painting; exterior; landscape
Composition,Paintings,00964,Joseph F. Brivio,Oil on canvas,19 5/8 x 15 3/4 in,1952,painting; still life; pitcher; magnifying glass; pencil; fruit; Signed lower left
Portrait of a Man Wearing a Straw Hat,Paintings,00339,Locca,Oil on canvas,21 x 17.5 in,,painting; portrait; left facing; man; hat
Florida Landscapes (centered tree),Paintings,00886,Highwaymen Newton,Oil on canvas,18 x 24 in,1960,"Oil Painting; Florida landscapes; Newton; Measurements 18"" x 24"""
The Window,Paintings,00728,Phillip Ratner,Oil on board,23.5 x 17.5 in,20th Century,painting; stained glass window; Moses; heaven; man; angels; Hebrew; hand; dagger; signed lower right
"Gertrude Vanderbilt Whitney Murals, Panel 3-B",Paintings,00341,Maxfield Parrish,Oil on canvas,64.75 x 74 in,1912-1916,painting; mural; men; women; standing; walking; urn; gowns; cape; hat; tree; Unsigned; Painting cut from frame during theft
Paisaje con Barcos de Velas y Casa Derruida,Paintings,00401,Lucas,Oil on canvas,,,painting; seascape; boats; water
Untitled (Faces of God Series),Paintings,00873,Tyree Guyton,Cushion; paint; vinyl; batting,24 x 18 in,1996,painting; face; modern art
Georgia Pitcher with Shawl,Paintings,00232,Otari Shiuk; Russia,Oil on canvas,42 x 36 in,1979,painting; still life; pitcher; fruit; grapes; watermelon; Signed
Santa Monica Canyon,Paintings,00964,Guy Morton,Oil on canvas,40 x 50 in,1936,"painting; exterior; landscape; valley; canyon; trees; Signed and dated lower right ""Guy Morton, 36"""
Game Form,Paintings,00006,Alexander Calder,Gouache,66.25 x 100.62 cm,1963,painting; abstract art; white; red; lines; Signed and dated lower right
Barbara in Red Chair,Paintings,01046,Max Moran,Oil on canvas,24 x 34 in,1985-1987,
Venice - The Grand Canal with fishing fleet setting out,Paintings,01121,Giacomo Guardi,Gouache,6 x 9.5 in.,,
Madonna and Child with a Parakeet and Cherries,Paintings,00954,Master of the Magdalen Legend,Oil on panel,13 1/8 x 8 3/8 in,Late 15th Century,painting; religious; woman; child; Virgin Mary; Jesus Christ; bird; cherry; Panel with arched top
The Protector,Paintings,00760,Victor Nehlig,Oil on canvas,19 x 13 in,,"painting; boy; girl; snake; trees; Signature lower right; Condition described as ""cleaned, perfect"""
"Hanging Clematis, L.A. River Bed",Paintings,00964,Alice Gibson Hornby,Oil on canvas,18 x 24 in,1912,painting; exterior; plants
Landscape with Cottages,Paintings,00643,Frederick H. Mcduff,Oil on canvas,10 x 14 in,20th Century,painting; landscape; linen matte and gilt wood frame
Le Moulin de la Galette,Paintings,00339,Maurice Utrillo,Oil on canvas,24 x 36 in,,painting exterior; windmill; buildings; street; gate
Smoking Girl,Paintings,01004,Rebecca Midwood,Acrylic on wood,24 x 48 in,1999,painting; woman; smoking; underwear; heart; Signed and dated on verso.
Shock & Scan 6,Paintings,00076,Don Giffin,Acrylic plexiglas,36 x 32 in,2002,painting; abstract; red; white; yellow; purple; none
Lady with Urn,Paintings,00674,,Oil on canvas,"30.5"" x 35.25""",,
Untitled Olivia DeBeradinis Painting of Masked Woman,Paintings,00949,Olivia DeBeradinis,Watercolor on watercolor paper,10 x 8 in,1998-1999,painting; masked woman holding face in hands and leaning forward
Marine,Paintings,00958,Petrus Jan Schotel,Oil on canvas,43.50 x 58.50 cm,1808-1865,painting; sailing ships; ocean; signed on the small boat in the lower right
Alaskan Glaciers,Paintings,,John Dos Passos,Watercolor on paper,19 7/8 x 13 15/16 in,1966,painting; exterior; landscape; mountains; valley; trees; glacier; Not signed; Reference #
Dorothee at the Easel,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,painting; impressionism; interior; fireplace; mantel; easel; girl; table; chairs; Unsigned
Andrea Red Sweater,Paintings,01046,Max Moran,Oil on canvas or board,20 x 24 in,1984,Signed Wade Moran
In the Harem Courtyard,Paintings,00428,Edwin Lord Weeks,Oil on canvas,26 x 32 in,,painting; courtyard; fountain; balcony; women; signed
Portrait of King Shokou,Paintings,00436,Sadoyama Anken; Mouchouki; Japan,,155.90 x 152.60 cm,1837,painting; Asian; man; beard; royalty; crown; figures; Okinawa
Silver Birches,Paintings,00608,Charles Linford,Oil on board,17 x 12 in,,"painting; exterior; trees; woods; Signed ""C. Linford"" lower left"
Mother and Child,Paintings,00337,Millard Sheets,Watercolor; charcoal; ink wash; gouache,17 x 14 in,1943,painting; woman; child; signed lower left
Memories,Paintings,00071,Calman Shemi,Lacquer on wood,32 x 40 in,2002,painting; buildings; dome; architecture; signed lower left
Mountain Landscape,Paintings,00964,John William Hilton,Oil on board,23.75 x 29.5 in,1900-1964,painting; landscape; mountain
Wistful Dreams,Paintings,00163,Barry Lee Darling,Oil on canvas,Height,c. 2010,
"Landscape, South of France",Paintings,00448,Robert Richmond Campbell,Oil on canvas,49.00 x 60.20 cm,1930,"painting; impressionism; landscape; trees; grass; buildings; Signed lower right ""Robert Campbell / 30"""
River Scene,Paintings,00828,Hiroshige; Japan,Watercolor on paper,14 x 9 in,1797-1858,painting; Asian; river; village; figures; eating; signed in upper left.
African Dancers,Paintings,00998,Palmer C. Hayden,Watercolor on paper,"14.5"" x 18""",1932,Signed in lower right.
Nude Woman with Dog and Rabbit,Paintings,01016,,painting,4 x 2.5 in,,miniature; nude woman; arrows; dog; rabbit
Fairmount Water Works,Paintings,00082,John A. Woodside,Oil on canvas,22 x 27 1/8 in,1842,Painting
Untitled Landscape,Paintings,00059,Elmer Wachtel,Watercolor,16 x 20 in,Circa 1895,painting; landscape; trees; rocks; stream; signed and dated lower right
The Latest News,Paintings,00260,J.B. Chevilliard,Oil on panel,7.5 x 5.75 in,,"painting,clergy, man, newspaper, table, interior,Signed lower left"
The Chef Woman,Paintings,00465,Bela Czobel,Oil,90.00 x 72.50 cm,1930,painting; portrait; woman; left facing; apron
Night Pier,Paintings,00964,David Kahn,Watercolor,25.5 x 31.75 in,1962,painting; exterior; night; pier; ocean; signed lower right
Still Life with a Chinese Vase,Paintings,00954,Willem Kalf,Oil on canvas,30.5 x 25 in,1619-1693,painting; still life; bowl; fruit; signed W. Kalf lower left
Olivia Birthday Portrait with Watering Can,Paintings,01046,Max Moran,Oil on canvas,14 x 20 inches,,
Mount Shasta,Paintings,01197,William Keith,Oil on canvas,Approximately 24 in x 36 in (without frame),1899,Oil painting on canvas in frame; Signed by artist; Inscription in frame
Portrait of a Lady in Black,Paintings,01195,Alphonse Mucha,Oil on canvas,47 in x 42 in; Frame 52.5 in x 46.5 in,1917,Signed and dated in lower right corner
Queen Palace,Paintings,01190,Mehdi Jlayer,Oil on velvet,35 in x 55 in,,"Signed ""M. JLAYER"""
Apanda Palace,Paintings,01190,Mehdi Jlayer,Oil on velvet,34 in x 43 in,,"Signed ""M. JLAYER"""
"Immaculate Conception (Inmaculada con Letanias, con San Joaquin y Sta Ana)",Paintings,00580,Peruvian,Oil painting,207 cm x 140 cm,17th Century,
By Force and Valor,Paintings,01185,James Dietz,Oil on canvas,"31"" x 21.5""",2010,Artist signature in block lettering on bottom right corner of the piece
"On the Banks of The Seine, Vernon",Paintings,01181,Abel George Warshawsky,Oil painting on canvas,25.5 in x 32 in,1910-1914,
"Untitled Erte Painting, Shooting Star and Figure",Paintings,00056,Erte,,36 x 24 in,1904-1989,painting; modern art; shooting star; figure; red; black; Signed lower right
The Marshes,Paintings,00640,Michael Scolaro,Oil on canvas,9 x 12 in,1999,"painting; landscape; clouds; water; gray; Signed ""M. Scolaro '99"" in lower right corner"
Young Bohemian,Paintings,00423,Albert Handell,Oil on canvas,30 x 20 in,,painting; portrait; right facing; man; beard
"Ocean Liners, 1 of 9",Paintings,00722,Laurence Dunn,painting,,,1 of 9; published by Hugh Evelyn
Manglietia fordiana,Paintings,01056,Mang Hang Ho,Watercolor and pencil on paper,Width: 15 in; Height: 20 in.,1988,signed Ho Mang Hang lower right
The Dormition of the Virgin (La dormicion de la Virgen Maria),Paintings,00463,,Oil on canvas,83 x 68.5 in,18th Century,
Capricho,Paintings,00687,Alfonso Arana,Oil on canvas,30 x 24 in,20th Century,"Signed ""Arana"" on lower right corner"
Blue Night,Paintings,00884,Adolfo,Acrylic on canvas,78.75 x 63 in,1995,painting; abstract art; blue; green; black; circles
OSU Campus High Street Looking East,Paintings,01046,Max Moran,Oil on canvas,24 x 38 in,1987-1988,
Skull Segment,Paintings,00796,Lucien Smith,Oil on canvas,3.5 x 5.5 in,2015,LuSm 80
"Volterra, Italy",Paintings,01147,Erica Harney,Acrylic on canvas,Length,2008,
Summer Moon,Paintings,00612,Hobson Pittman,Oil on canvas,18 x 18 in,,painting; table; chairs; flowers; clouds; tablecloth; window; moon; Signed
Gilded Cage,Paintings,00605,Margaret Keane,Oil on canvas,19 x 12 in,1963,"painting; portrait; right facing; woman; blond; bird; cage; lamp; Signed lower left ""MDH/ KEANE"""
Girl on a Donkey,Paintings,01121,Sir William Russell Flint R.A.,Watercolor painting,11.5 x 18.5 in,,
Tangiers - Fish Market,Paintings,00876,Arbit Blatas,Oil on canvas,38 x 51 cm,1959,"painting; impressionism; interior; figures; eight; standing; sitting; table; Signed lower right ""A. Blatas"""
Still Life with Flowers,Paintings,00782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,painting; still life; flowers; signed Ostor Glorig on lower left; with hand carved dark brown wooden frame
Three Amish Boys,Paintings,01046,Max Moran,Oil on canvas,24 x 28 in,1987-1991,
Scene in Southern France,Paintings,00933,Pierre Auguste Renoir,Oil on canvas,10 x 17.5 in,1850-1919,painting; landscape; trees; building; impressionism
Threepenny Opera | The Brothel,Paintings,00876,Arbit Blatas,Oil on canvas,121 x 170 cm,20th Century,"painting; impressionism; woman; sitting; man; standing; hat; Signed on lower right ""Blatas"""
Kasimir Kord (Conductor),Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; man; standing; bow tie; conductor; Signed lower right ""Blatas"""
Boats in Harbor,Paintings,00097,Anthony Thieme,Oil on canvas,18 x 20 in,Early 1900s,painting; boat; seascape; harbor; Sailboats near a jetty in a harbor.
Sunset at Tivoli with Cattle,Paintings,00384,Jean Baptiste Lallemand,Oil on canvas,21 x 25.75 in,1710-1803,painting; exterior; landscape; trees; hill; building; columns; men; walking; bull; cow; goats; river
Ballerina in Pink,Paintings,01046,Max Moran,Oil on colored matt board,28 x 38 in,1980-1989,
Breeze,Paintings,00884,Adolfo,Mixed techniques on paper,35.5 x 26.5 in,1993,painting; abstract art; circles; brown; green; yellow; red; white; Signed lower right
Finis,Paintings,00928,Sam Hyde Harris,Oil on canvas,20 x 24 in,1930,"painting; seascape; boat; water; dock; Signed ""Sam Hyde Harris"" lower right"
Claro de Sol de Otono en Sierra de Guadarrama,Paintings,00401,Carlos de Haes,Oil on canvas,57 x 77 cm,1829-1898,painting; landscape; trees; bushes; people
Dorking Surrey,Paintings,01016,J. H. Cramstoun,Oil on panel,10 x 15 in,,painting; landscape; trees; horse; people; gate; Signed
"Untitled, Frederick Donald Blake, Landscape Painting",Paintings,00298,Frederick Donald Blake,Mixed media,18 x 24 in,Birth/Death Dates,painting; landscape; buildings
Portrait of Dorothy Roebling,Paintings,00494,William Paxton,Oil on canvas,49 x 39 in,1934,
"Capriccio with Ruined Arches, a Dome in the Background",Paintings,00199,Francesco Guardi,Oil on canvas,23.5 x 18 cm,18th Century,painting; arch; ruin; man; dome; brown
"Untitled, Woman with Umbrella in Paris",Paintings,00343,,Oil on canvas,,,"painting; Paris, France; woman; standing; parasol; Signed"
The Solway Sisters,Paintings,01121,Sir William Russell Flint R.A.,Watercolor painting,16 x 22 in,,Signed
Invitation to Be Our Guest,Paintings,00309,Vachagan Narazyan,Oil on canvas,13.5 x 11.5 in,2007,painting; signed lower right
German Scene,Paintings,00926,W. Heurh,Watercolor,10 x 20 in,,painting; exterior; landscape; water; mountain; Signed
Rue a Macon,Paintings,00804,Camille Pissarro,Watercolor,6.75 x 9.13 in,19th Century,
Figures in a Parisian Park,Paintings,00675,Luigi Loir,Oil on panel,3.75 x 6.25 in,1865-1916,"painting; people; park; trees; impressionism; blue; Signed on lower right ""Loir Luigi"""
Angels' Flight,Paintings,01031,Robert Woolfe,Oil on canvas,37 x 31 in,1982,"painting; exterior; city; street; Los Angeles, California; car; people; lamppost; arch; cable car; ""Woolfe 82"" lower right"
Curving Bridge,Paintings,00782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,painting; landscape; bridge; signed Ostor Glorig on lower left; hand carved dark wood frame
Woodland Scene,Paintings,00764,Narcisse Virgile Diaz de la Pena,Oil on panel,10.5 x 16 in,19th Century,painting; exterior; landscape; trees; figure; one; standing; Signed N. Diaz
Untitled Philip Paval Abstract Painting,Paintings,00964,Philip Paval,Oil on board,24 x 30 in,1950-1970,painting; abstract art
Woman and Child,Paintings,00037,Henri Lebasque,Oil on canvas,25 x 21 in,Late 19th century,painting; interior; room; woman; sitting; child; table; vase; flowers; hat; Signed lower right
Venice,Paintings,00835,Joseph Sloman,Oil on board,,1883,"painting; Venice, Italy; water; buildings; canal"
Plum Blossoms,Paintings,00964,Utaka Mizushima,Oil on canvas,26.25 x 36.5 in,1900-1965,"painting; Asian; still life; flowers; Gold colored label with title of picture, artist name, ""Nagoya, Japan"" lower right"
Boy Reading | Young Man Reading,Paintings,00627,Winslow Homer,Oil on panel,6 5/8 x 9 1/4 in,19th Century,painting; boy; reading; Signed
Group Dancing,Paintings,00926,Iran,,16 x 18 in,1775-1825,painting; Persian; people; dancing; Signed
Street in Provincetown,Paintings,00953,Charles Anton Kaeselau,Watercolor painting,Height: 12.75 in.; Width: 19.75 in.,Circa 1935,"Signed ""Charles Kaeselau"" lower left black ink; Label on verso from National Museum of American Art"
Portrait of a Woman Wearing a Black Hat,Paintings,00722,Anonymous,Oil on canvas,48 x 36 in,,painting; portrait
Central Park Off Cedar Hill,Paintings,01046,Max Moran,Oil on canvas,30 x 38 in,1992,
Polio Fingers,Paintings,00796,Lucien Smith,Oil on canvas,7.25 x 10 in,2015,LuSm 77
Two Balconies,Paintings,01158,Salvador Dali,Oil on canvas,34.5 x 23.5 cm,1929,oil painting; landscape; signed
Untitled (Stick Figure),Paintings,00361,Rufino Tamayo,Oil on canvas,27 x 23.25 in,1968,Signed and dated 0-68 in lower right.
Still Life of Roses in a Basket on a Table,Paintings,00079,Johan Laurents Jensen,Oil on canvas,15.5 x 18 in,1829,painting; still life; flowers; basket; table
Don du Musee (The First Mass Book),Paintings,00964,E. Le Febure,Oil on canvas,31 x 48 in,1875-1946,painting; still life; book; chalice
Torso II,Paintings,01041,Leon Golub,Oil and lacquer on canvas,47 x 45 in,1960,"painting; modern art; figure; Signed lower left ""Golub '60"""
Portrait of Tjallinga thoe Schwartzenberg,Paintings,00489,Narcisse Garnier,Oil on canvas,27 x 22 cm; Frame: 44.5 x 39 cm.,1805,painting; portrait; left facing; woman; sitting; brunette; gown
Mrs. Tickell,Paintings,01121,"John Hoppner, R. A.",Oil on canvas,29 x 24 in.,,
Cubist Nude,Paintings,00285,Vladimir Davidovich Baranoff-Rossine,Oil on canvas,65.50 x 53.30 cm,20th Century,painting; nude; Portrait on reverse of painting
Wild Plum,Paintings,00953,Charles Barrows,Watercolor,14.25 x 20.25 in,1938,"painting; exterior; trees; orchard; mountain; Signed ""Charles Barrows"" in lower right, and dated ""38""; Santa Barbara Museum of Art label on verso"
A La Daumier,Paintings,00964,John Decker,Oil on canvas,,1900-1964,painting; man; bald; people
The Song of Dawn,Paintings,00697,Saika Doi; Japan,Ink on paper,13 x 26.5 in,1989,painting; abstract art; blue; black; Japanese characters; Red seal of artist on work
Cercle Catholique de Sacre-Coeur,Paintings,00095,Maurice Utrillo,Oil on canvas glued to board,22.75 x 18.25,1920-1940,painting
Marie with White Kitten,Paintings,01046,Max Moran,Oil on canvas,26 x 36 in,1986,
Noreen Sans,Paintings,00605,Margaret Keane,Oil on canvas,20 x 16 in,1979,"painting; girl; Asian; fan; Signed lower right ""MDH Keane 1979"""
Woman with a Red Turban | Femme au turban rouge,Paintings,00466,,Oil on board,42 x 53.5 cm,1900-1950,"painting, woman"
"Tartaro, Portrait of a Woman",Paintings,00919,Nana Tartaro; Russia,Oil on canvas,60 x 36 in,,painting; portrait; woman; left facing; flag; hat; sash; Signed
Summer VI,Paintings,00071,Pedro Lazaro,Acrylic on canvas,48 x 48 in,2003,Signed lower left and on back
Daniel Webster,Paintings,00169,American,Oil on canvas,19.25 x 14.5 in,1850s,painting; portrait; man; bald; Unsigned
A Duel After the Masked Ball,Paintings,01002,George Patten,Oil on canvas,15 3/8 x 22 1/8 in,1801-1958,painting; landscape
City Corner,Paintings,00953,Elliot Orr,Oil,23 x 29 in,1938,"painting; exterior; building; stairs; night; man; walking; Signed lower right ""Elliot Orr""; Rear tag data"
Leviathanus,Paintings,00197,Robert Wyland,Oil on canvas,29.5 x 40 in,1988,painting; water; ocean; whales; Signed
Untitled F. Cavelli Oil Painting,Paintings,00979,F. Cavell,Oil on canvas,18 x 24 in,1880,painting; exterior; dogs; three; barking; tree; bird; Signed and dated
Pink Roses Still Life,Paintings,00730,K. Ruperli,Oil on canvas,17 x 21 in,1883,painting; still life; roses; Signed by K. Ruperli
Garden Scene - Spring,Paintings,00964,Ejinar Hansen,Oil on canvas,50 1/8 x 40 in,1935,painting; exterior; boy; woman; sitting; shovel; garden
Madonna and Child With St. John,Paintings,00374,Antoniazzo Romano,Tempera and gold on panel,18 x 15 in,,painting; icon; religious; Virgin Mary; Jesus Christ; child; boy; St. John
6% Bar Series,Paintings,01046,Max Moran,Oil on canvas,42 x 54 in,1984-1985,"Exhibited at Gallery 200 in Columbus, Ohio. Piece may still have gallery tag."
Sacre Coeur (Sacred Heart),Paintings,00026,Elisee Maclet,Oil on canvas,24 x 18.5 in,20th Century,painting; French; street; man; standing; buildings; trees; Signed lower right
Raritan,Paintings,00578,Nicolo Funno,Gouache,21 x 31 in,1853,painting; sailing ship; Incised frame
Portrait of Countess Marija Eltz | Portrait de la Comtesse Marija Eltz,Paintings,00466,,Oil on canvas,58 x 72 cm,1800-1850,"painting, Countess"
Marie Nude from Back (cardboard),Paintings,01046,Max Moran,Oil on canvas,24 x 34 in,1986,
Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; Paint; Automobile hood,66 x 48 in,1990s,
Allegory,Paintings,00038,Johann Heiss; Germany,Oil on canvas,26 x 32 in,17th Century,painting; man; reclining; woman; sitting; table; angel; wings
Church Interior,Paintings,00285,Leonid Mikhailovich Brailovsky | Rimma Nikitichna Brailovsky,Oil on wood,52 x 68.5 cm,1921,painting; interior; church; monk; signed bottom right
Archangel Rafael,Paintings,01148,Unknown,Oil on canvas,Height: 150 cm.; Width: 100 cm.,18th Century,"No observable markings, wooden frame damaged"
British City Buildings,Paintings,00790,"David Cox, Sr.",Watercolor on paper,4.75 x 8 in,1780-1790,painting; cityscape; realism; Signed
Philadelphia Watercolor,Paintings,00722,Properous Senante,Watercolor,40 x 30 in,,painting; signed lower right corner
Jennie French Potter,Paintings,01081,Samual F. Badger,Oil on canvas,21.5 x 35 in,1901,"painting; sailing ship; ocean; Signed lower left ""S.F.M. Badger / '01""; written on back of canvas ""S.F.M. Badger/ 1901.Cha's'n. Mass.""; Painting was conserved in 1997 by Alexander Katlin who removed grey overpaint from the background but left grey in between riggings."
Sketch of Surgery,Paintings,00876,Arbit Blatas,Oil on carton,,20th Century,painting; impressionism; surgery; doctor; light fixture; figures; four; standing; Unsigned
"View of St. Marks, Venice",Paintings,00608,Sidney Hamilton-Blackwood,Oil on cardboard,13.5 x 8.5 in,,"painting; exterior; water; boat; building; dome; Venice, Italy; waterfront; Signed ""S.H.B."" lower right"
Chez Tortoni,Paintings,01159,Edouard Manet,Oil on canvas,26 x 34 cm,1878-1880,painting
Still Life With Lilac Flowers,Paintings,00374,Theodor Aman,Oil on canvas,38 x 24.5 in,1831-1891,painting; still life; flowers; lilac; magnifying glass; dice; decanter
La Jarre Fleurie (The Flower Jar),Paintings,00024,Michael Bouchery,Oil on canvas,100 x 73 cm,,painting; exterior; garden; woman; sitting; chair; vase; flowers; hedge; trees
Camellia Honkongensis,Paintings,01056,Mang Hang Ho,Watercolor and pencil on paper,Height: 15.5 in.; Width: 11.75 in.,1990,"unsigned; inscribed in pencil ""Camellia hongkongensis"""
Elephant Series,Paintings,00071,Christian Claerebout,Oil on paper,40 x 40 in,2002,painting; elephant; Signed upper right
Confession No. 1,Paintings,00964,Keiji Harada,Oil on canvas,26 x 36 in,1900-1965,painting; abstract art
Pecheur Martigue - Fishermen of Martigue,Paintings,00690,Jose Fabri-Canti,Oil on canvas,16 x 18 in,20th Century,"painting, impressionist, boat, building; Signed lower right"
Child Jesus,Paintings,00695,Anonymous,Oil on canvas,40 x 30 cm,18th Century,"painting; child Jesus standing on ledge holding script, flanked by lamb"
Steamboat,Paintings,00230,Cecil Bell,Oil on canvas,30 x 40 in,,painting; ocean; boat; waves; man; standing; Signed lower right
Paris - Luxembourg Gardens 1,Paintings,00876,Arbit Blatas,Oil on canvas,72 x 86.5 cm,20th Century,"painting; impressionism; figure; trees; building; garden; yard; grass; Signed lower right ""Blatas"""
