Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
The Complete Poems,Books, 00895, Elizabeth Bishop, Printed paper, 23.00 cm, 1969,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book"
The Traditional History and Characteristic Sketches of the Ojibway Nation,Books, 00895, George Copway, Printed paper, 20.00 cm, 1851,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or 3) KC acquisition information on one of the first 5 pages of the book."
Shuo Wu Hou Cheng Sutra in 6 Chapters,Books, 00865, China,, 24.20 cm, 1279," book; China; Woodblock edition from the Tripitaka printed at the Dapuning Monastery of Yuhang, Hangzhou Province"
Ichtyologie,Books, 00925, Marc Elieser Bloch, book,, 1797,
Differentiating the Sutras and Vinaya in 52 Chapters,Books, 00865, China,, 24.00 cm, 1148, book; China; Woodblock edition
Pride and Prejudice: A Novel,Books, 00895, Jane Austen, Printed paper, 17.00 cm, Copyright,"book; Kenyon College books can be identified by the following: 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note: Breithaupt on occasion erased the penciled-in number but an imprint may still be visible); and/or; 3) KC acquisition information on one of the first 5 pages of the book."
"The Psalms of David, imitated in the language of the New Testament",Books, 00895, Isaac Watts, Printed paper, 9.00 cm,Copyright: 1827, book; Kenyon College books can be identified by the following
Ara vus prec,Books, 00895, Thomas Stearns Eliot, Printed paper,,Copyright: 1920, book; Kenyon College books can be identified by the following
Pride and Prejudice,Books, 00895, Jane Austen,, 19 cm, 1894, No Image Associated with this Item
"Metrische Analysen zu Vergil, von Wilhem Ott",Books, 00895, Wilhelm Ott, Printed paper book,Length: 24 cm, Copyright, No Image Associated with this Item
Speech of Acceptance Upon the Award of the Nobel Prize for Literature,Books, 00895, William Faulkner, Printed paper book,Length: 25 cm, Copyright: 1951, No Image Associated with this Item
Wine from these Grapes,Books, 00895, Edna St. Vincent Millay, Printed paper,, 1934," book; Kenyon College books can be identified by the following; 1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note"
Illustrations and Lists of All Antiquities Known During the Xuanhe Reign Period,Books, 00865, China,, 20.50 x 13.10 cm, 1599-1636, book; China; Original woodblock edition by Yu Chengzu with repairs by Yu Daonan
What's for Dinner?,Books, 00895, James Schuyler, Printed paper book, Length: 23 cm, Copyright: 1978, No Image Associated with this Item
The Passions of the Minds in Generall,Books, 00895, Thomas D. D. Wright, Printed paper, 20.00 x 15.00 cm, Copyright 1621, book; Kenyon College books can be identified by the following
The Alchemy of Books,Books, 00895, Laurence Clark Powell, Printed paper,,Copyright: 1954, book; Kenyon College books can be identified by the following
The Complete Prophecies of Nostradamus,Books, 00895, Michel de Notredame, Printed paper book, Length: 22 cm, Copyright: 1949, No Image Associated with this Item
History of the Jing Dynasty in 130 Chapters,Books, 00865, Unknown (Chinese in origin), Book, Height: 20.70 cm; Width: 12.90 cm, Song period, No Image Associated with this Item; Song Period woodblock with Yuan and Mind period repairs
Sorrow in Sunlight,Books, 00895, Ronald Firbank, Printed paper book, Length: 19 cm, Copyright: 1924, No Image Associated with this Item
"The Treasured Mirror of Painting in 5 Chapters, Supplement in 1 Chapter",Books, 00865, Unknown (Chinese in origin), Book, Height: 17.70 cm; Width: 10.90 cm, 1366, No Image Associated with this Item
Peter Piper's practical principles of plan and perfect pronunciation,Books, 00895, Unknown, Printed paper book,,, No Image Associated with this Item
Ronald Firbank: A Memoir,Books, 00895, Ifan Kyrle Fletcher, Printed paper book, Length: 23 cm, Copyright: 1930, No Image Associated with this Item
The Dynasts,Books, 00895, Thomas Hardy, Printed paper book,,Copyright: 1924, No Image Associated with this Item
Nepalese Book Cover with Altar,Books, 00258, Nepalese,, 5 x 15 in, 1810," book cover,men, women, altar, religious"
"Two treatises of government: in the former, the false principles and foundation of Sir Robert Filmer, and his followers, are detected and everthrown",Books, 00895, John Locke, Printed paper,,Copyright: 1694, book; Kenyon College books can be identified by the following
Symbolica Dianae Statva a Clavdio Menetreio,Books, 00895, Claude Francois Menestrier, Printed paper book, Length: 23 cm, Copyright: 1688, No Image Associated with this Item
Proeces Piae / MS Saeculum XIV,Books, 01136, Vellum,, 15.5 x 11.8 cm, 15th Century,
"God Without Thunder, an Unorthodox Defense of Orthodoxy",Books, 00895, John Crowe Ransom, Printed paper book, Length: 22 cm., Copyright: 1931, book; Kenyon College books can be identified by the following
"Letter from Alexander Hamilton concerning the public conduct and character of John Adams, esp., president of the United States",Books, 00895, Alexander Hamilton, Printed paper, Length: 22 cm., Copyright: 1809, book; Kenyon College books can be identified by the following
Etymologiarum libri XX,Books, 00925, Hispalensis Isidorus,, Binding: 315 x 209 / 215 x 70 mm, 1472," Book has colored, painted initials"
Hard Not to be King,Books, 00895, Robert Frost, Printed paper, Length: 20 cm., Copyright, book; Kenyon College books can be identified by the following
Flag of Ecstasy: Selected Poems,Books, 00895, Charles Henri Ford, Printed paper, 23.00 cm, Copyright: 1972, book; Kenyon College books can be identified by the following
Prunciations and Definitions for the Newly Translated Flower Garland Sutra,Books, 00865, China,, 42 cm, 1103,
Al publico [A proclamation convering the occupation by U.S. Army],Books, 00895, Puerto Rico, Printed paper, 41.00 x 28.00 cm, Copyright: 1898, broadside; Kenyon College books can be identified by the following
"Combined Interpretations of the Book of Change In 9 Chapters, Pronunciations and Definitions in 1 Chapter, and Principles of Interpretation in 1 Chapter",Books, 00865, China,,Height: 19.10 cm.; Width 12.60 cm., Yuan Period,
"The Reading Notes Sir Zhen Wenzhong, The Xishan Master",Books, 00865, China,, 21.10 x 15.60 cm, Song Period, book; China; Woodblock edition of the Fuzhou Education Office
Dombey and Son,Books, 00895, Charles Dickens, Printed paper, Length: 22 cm., Copyright: 1848, book; Kenyon College books can be identified by the following
The Moon on a Fencepost,Books, 00895, Robert Bly, Printed paper, Length: 23 cm., Copyright: 1988, book; Kenyon College books can be identified by the following
"Il pastor fido, The Faithful Shepheard",Books, 00895, Giovanni Battista Guarini, Printed paper, 17.00 cm,Copyright: 1664, book; Kenyon College books can be identified by the following
"Angling in all its Branches, Reduced to a Complete Science: being the result of more than forty years real practice and strict observation throughout the kingdoms of Great Britain and Ireland",Books, 00895, Samuel Taylor, Printed Paper, Length: 21 cm., Copyright: 1800,
The Philobiblion; a monthly bibliographical journal,Books, 00895, Printed paper,, 22.00 cm, Copyright 1862-1863, book; Kenyon College books can be identified by the following
Atlas Minor,Books, 00925, Gerard Mercator, book,, 1621,
"The Comic Almanack; an ephemeris in jest and earnest, containing ""all things fitting for such a work""",Books, 00895, Unknown, Printed paper, Length: 17 cm., Copyright: 1841-1842, book; Kenyon College books can be identified by the following
Des imagistes: an anthology,Books, 00895,,Printed paper book, Height: 30 cm; Width: 45 cm, Copyright 1983, No Image Associated with this Item
List of Peruvian Senators in 1845,Books,01167,Chamber of Senators of the Congress of the Republic of Peru,Paper,Height: 33.02 cm.; Width: 44.45 cm.,1845,
Historical piece of correspondence for payment charged to the branch post office of the Lima Administration Office in 1853,Books,01168,Unknown,Paper,,07/12/1853,
Route map of the Lima Post Office,Books,01169,Unknown,Paper,,03/29/1850,
"Guide letter from the Lima Post Office, 1811",Books,01170,Unknown,Paper,,Made in 08/28/1811,
"Gold referral record to the Assayer Mayor of Lima, year 1828",Books,01171,Unknown,Paper,,Made in 06/17/1828,
Order of payment in silver issued by the Casa de Moneda de Lima (Lima Mint) (1753),Books,01172,Unknown,Paper, Height: 31 cm.; Width: 21.5 cm.,Made in 03/20/1753,
Road map of the Arequipa Post Office (1847),Books,01173,Unknown,Paper,,10/30/1847,
"Folio (250) of the notarial protocol No.17, Scribe Julián Bravo (1599)",Books,01174,Scribe Julián Bravo,Paper,,1599,
"Folio (251) of the notarial protocol No.17, Scribe Julián Bravo (1599)",Books,01174,Scribe Julián Bravo,Paper,,1599,
"Folio (252) of the notarial protocol No.17, Scribe Julián Bravo (1599)",Books,01174,Scribe Julián Bravo,Paper,,1599,
Road Map of the Trujillo Post Office (1829),Books,01175,Unknown,Paper,,09/30/1829,
"Certificate of payment issued by the Administration of Excises of Lima for the freedom of a slave, year 1780",Books,01176,,Paper,,Made in 07/18/1780,
Expedition report issued by two Jesuits priests to the Central Lima Government (1745),Books,01178,Fathers Miguel de Eysaguirre and Carlos de Pastoriza,Paper,,1745,
Handwritten file on Capitán Gerónimo de Aliaga (XVII century),Books,01178,,Paper,,17th Century,
Geographia,Books,00925,Claudius Ptolemaeus,,,1540,No Image Associated with this Item; Call number
Cosmographia,Books,00925,Claudius Ptolemaeus,,book,1475,
"God With Revolver: Poems, 1979-82",Books,00895,Rene Ricard,Printed paper book, Length: 23 cm,Copyright 1989,No Image Associated with this Item
In descriptionem Graeciae Sophiani praefatio etc.,Books,00925,Nicolaus Gerbelius,book,,1540,
King Jasper: A Poem,Books,00895,Edwin Arlington Robinson,Printed paper book,21.00 cm,Copyright 1935,book; Kenyon College books can be identified by the following
The Good Soldier: A Tale of Passion,Books,00895,Ford Madox Ford,Printed paper book,19 cm,Copyright 1927,No Image Associated with this Item
"The Pill, Pygmy Chimps, and Degas' Horse: The Autobiography of Carl Djerassi",Books,00895,Carl Djerassi,Printed paper,24.00 cm,Copyright 1992,"book; Kenyon College books can be identified by the following:1) A KC logo on the inside front cover, or a logo entitled Philo Mathesian Society or Nu Pi Kappa (which are literary societies connected with KC); and/or 2) A KC call number on the outside spine or penciled in on one of the first 5 pages of the book (note"
De arte supputandi libri quatuor,Books,00895,Cuthbert Tunstall,Printed paper,,Copyright 1538,book; Kenyon College books can be identified by the following
Guangyun Rhyme Dictionary in 5 Chapters,Books,00865,Unknown (Chinese origin),,Height: 16.80 cm; Width: 11.20 cm,Yuan Period,No Image Associated with this Item; Yuan period woodblock with Ming period repairs; Library call # T5125/794D Yuan Period
"Hugonis Grotii De iure belli ac pacis libri tres, in quibus jus naturae & gentium, item juris publici praecipua explicantur",Books,00895,Samuel Gorton,Printed paper book, Length: 31 cm,Copyright 1647,No Image Associated with this Item
Notes on Democracy,Books,00895,H.L. Mencken,Printed paper book, Length: 20 cm,Copyright 1926,No Image Associated with this Item
"Records of the Historian, in 130 Chapters",Books,00865,China,,20.00 x 13.80 cm,1457-1463,book; China; Woodblock edition by You Ming
Geographia,Books,00925,Claudius Ptolemaeus,Book,,1542,
Biblia cum Postilis,Books,00925,Nicolai de Lyra,,,1492,No Image Associated with this Item; Call number: Inc. 755
Wanyan Collection of Biographies of Famous Officials,Books,00865,China,Book,19.20 x 13.30 cm,Yuan period,book; China; Song woodblock with Yuan and Ming period repairs
I Go A-Fishing,Books,00895,William Cowper Prime,Printed paper,21.00 cm,Copyright 1875,book; Kenyon College books can be identified by the following
Atlas Minor,Books,00925,Gerard Mercator,book,,1634,
The Croquet Player: A Story,Books,00895,H. G. Wells,Printed paper,20.00 cm,Copyright: 1936,book; Kenyon College books can be identified by the following
Atlas minor sive geographia,Books,00925,Nicolaus Vischer,Book,,1650-1683,
The Thin Man,Books,01123,Dashiell Hammett,Book,,First edition published in 1934,Call no. PS3515 .A4347 T47 1934b
Alexander Graham Bell Letter,Books,00892,Alexander Graham Bell,Paper,manuscript; Alexander Graham Bell,,
Heliodorus,Books,00895,Heliodorus of Emesa,Printed paper,23.00 cm,Copyright: 1637,book; Kenyon College books can be identified by the following
The Sutton Hoo Ship-Burial,Books,00895,Rupert Leo Scott Bruce-Mitford,Printed paper,32.00 cm,Copyright: 1975,book; Kenyon College books can be identified by the following
Dissertatio cum nuncio sidero,Books,00925,Johannes Kepler,Book,,1610,
"The Reading Notes Sir Zhen Wenzhong, The Xishan Master",Books,00865,China,,21.10 x 15.60 cm,Song Period,book; China; Woodblock edition of the Fuzhou Education Office
Selected Poems,Books,00895,John Crowe Ransom,Printed paper,22.00 cm,Copyright: 1945,book; Kenyon College books can be identified by the following
Palimpsest,Books,00895,Printed paper,,20.00 cm,Copyright: 1926,book; Kenyon College books can be identified by the following
Certain People,Books,00895,Edith Wharton,Printed paper,21.00 cm,Copyright: 1930,book; Kenyon College books can be identified by the following
Astronomia Nova,Books,00925,Johannes Kepler,Book,,1609,
"The Reading Notes Sir Zhen Wenzhong, The Xishan Master",Books,00865,China,,21.10 x 15.60 cm,Song Period,book; China; Woodblock edition of the Fuzhou Education Office
"Collection of Writings, Affairs, and Literature of the Ming Dynasty, 101 chapters",Books,00865,China,,,Ming Period,book; China; Ming period woodblock edition
Outstanding Flowers from the Literary Garden in 1000 Chapters,Books,00865,China,,20.90 x 15.20 cm,1567,book; China; Fujian woodblock edition by Hu Weixin and Qi Jiguang
Salmonia,Books,00895,Sir Humphry Davy,Printed paper,17.00 cm,Copyright: 1828,book; fishing; Kenyon College books can be identified by the following
The Religious and Loyal Protestation,Books,00895,John Gauden,Printed paper,20.00 cm,Copyright: 1648,book; Kenyon College books can be identified by the following
Memorials of Song Dynasty Officials,Books,00865,China,,24.10 x 15.50 cm,1490,"book; China; Huasui Interpreters' Institute, movable copper type edition"
Master Yang's Exemplary Sayings with Drawings and Commentary,Books,00865,China,,18.10 x 11.90 cm,,book; China; Postface by Fu Zengxiang; Song woodblock with Yuan and Ming period repairs
"Cocaine, 1980: proceedings of the Interamerican Seminar on Medical and Sociological Aspects of Coca and Cocaine",Books,00895,,Printed paper,25.00 cm,Copyright: 1980,book; Kenyon College books can be identified by the following
Book Clubs and Printing Societies of Great Britain and Ireland,Books,00895,Harold Herbert Williams,Printed paper,24.50 cm,Copyright: 1929,book; Kenyon College books can be identified by the following
Illustrations of the Ceremonial,Books,00865,China,,17.50 x 11.80 cm,Yuan Period,book; China; Yuan period woodblock with Ming period repairs
American State Papers v. 27,Books,00895,United States Congress,Printed paper,, Copyright: 1832-1861,book; Kenyon College books can be identified by the following
The Vinaya of the Kasyapiyah School in 50 Chapters,Books,00865,China,,,Song Period,book; China; Song period woodblock edition
"Voyage de Siam, des peres jesuites, envoyez par le roy aux Index & a la Chine",Books,00895,Gui Tachard,Printed paper,26.00 cm,Copyright: 1686,book; Kenyon College books can be identified by the following
The Little Book,Books,00895,Richard Wright,Printed paper,20.50 cm,Copyright: 1941,book; Kenyon College books can be identified by the following
Capita deorvm et illvstrivm hominvm pacis belliqve artibvs clarissimorvm nec non heiroglyphica,Books,00895,Johann Martin von Ebermayer,Printed paper,39.00 cm,Copyright: 1721,book; Kenyon College books can be identified by the following
Red Hunters and the Animal People,Books,00895,Charles Alexander Eastman,Printed paper,20.00 cm,Copyright: 1905,book; Kenyon College books can be identified by the following
