,Title,Category,Ref_Num,Maker_Artist,Materials,Measurements,Time Period,Additional Information
2882,Les Quais a Paris,Paintings,00441,Eugene Galien Laloue,Gouache on paper,,1875-1941,"painting, Paris, France; Signed lower left ""E. Galien Laloue"""
1371,Buddhist Images,Paintings, 00356, China, Ink on paper, 125.00 x 57.00 cm, 960-1279, painting; Asian; figure; sitting; crown; Buddhism; unsigned
2438,Le Nombril,Paintings,00040,Gil Bruvel,Oil on linen,36 x 29 in,1988,painting; modern art; nude woman; reclining; dragonfly; signed and dated lower right
1918,Summer Flowers,Paintings,00231,Mark King,Acrylic,24 x 30 in,1989,painting; landscape; flowers; pond; water; Signed; Serial # KIN 1183
1413,"Park Scene, Paris",Paintings, 00300, Lucien Frank, Oil on carton, 12.5 x 9 in, Birth/Death Dates," painting; Paris, France; street scene; signed lower right"
2972,Mother of God (of Vladimir / Vladimirskaya),Paintings,00360,,Egg tempera on wood panel,,1600,
2897,Together,Paintings,00558,Darida,Oil on canvas,"30 x 40 in, frame",20th Century,painting; modern art; man; woman; signed by artist
2179,"View from the Artist's Studio, Paris",Paintings,00428,Mary Foote,Oil on canvas,22 x 13 in,,painting; street scene; balcony; buildings; door; not signed
1399,"Fountain at Frisole, Italy",Paintings, 00428, Mary Foote, Oil on canvas, 30 x 19 in,, painting; exterior; fountain; wall; trees; signed
1807,"Portrait of Jan van Loon, Jr.",Paintings, 00489, Bernard Coclers, Oil on canvas, 35 x 30 cm, 1779, painting; portrait; right facing; man; sitting; wig; signed
1550,Summer Foliage,Paintings, 00953, Marguerite Burgess, Watercolor painting, Length: 12.25 in; Width: 19.75 in, 1940," No Image Associated with this Item; Signed ""Marguerite Burgess"" lower right; written in sepia ink top left verso ""Summer Foliage, $12, Marguerite Burgess, 1731 Connecticut Avenue, NW, Washington, DC""; Label in lower right corner ""19, Summer Foliage by Marguerite Burgess, Washington, DC. Loaned by the U.S. Government Section of Fine Arts"""
2541,Kasimir Kord (Conductor),Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; man; standing; bow tie; conductor; Signed lower right ""Blatas"""
2989,Taos Indian,Paintings,00146,Henry Balink,,24 x 24 in,,painting; portrait; man; left facing; Native American; buckskin; necklace; Signed lower right
2373,St. James the Greater,Paintings,00954,Pacino da Bonaguida,Oil on panel,61.00 x 35.50 cm,1303-1339,painting; religious; saint; robes; beard
2236,Northern Light,Paintings,00578,Chinese,,28 x 38 in,1851,painting; sailing ship; ocean
2955,Knight and Angel,Paintings,00309,Vachagan Narazyan,Oil on canvas,14 x 14 in,2007,Painting; signed on lower right and on back with black marker
1489,Strains of Blue,Paintings, 00964, Evelyn Delight Carpenter, Oil on canvas, 34 x 34 in, 1963, painting; abstract art; blue
1477,Village in Great Britain,Paintings, 00926, T. H. Victor, Watercolor on paper, 16 x 24 in, 19th Century, painting; exterior; landscape; village; buildings
2698,"Untitled Oil on Glass, Reverse Painting",Paintings,00423,,Oil on glass,18 x 18 in,,painting; religious; priest; robe; bow; reverse painting
2695,Sacre Coeur (Sacred Heart),Paintings,00026,Elisee Maclet,Oil on canvas,24 x 18.5 in,20th Century,painting; French; street; man; standing; buildings; trees; Signed lower right
2197,The Black Virgen,Paintings,00296,Patssi Valdez,Acrylic on canvas,36 x 24 in,1989,painting; signed lower left
818,Still Life with Rabbit and Pheasant,Paintings,00876,Arbit Blatas,Oil on carton,,20th Century,"painting; impressionism; still life; plates; bottle; knife; pheasant; rabbit; Signed lower right ""A. Blatas"""
2101,Faces in the Hood Series,Paintings,00873,Tyree Guyton,Metal; paint; automobile; hood,96 x 72 in,1997,painting; face; modern art; small ID number written on back
1625,Vase of Flowers in a Niche with Fruit and Mushrooms,Paintings, 00954, Paolo Cattamara, Oil on canvas, 79.80 x 63.50 cm, 18th Century, painting; still life; vase; flowers; fruit; mushroom
2139,Japanese Soprano as Madame Butterfly,Paintings,00876,Arbit Blatas,Oil on canvas,,20th Century,"painting; impressionism; woman; Asian; standing; fan; Signed lower left ""A. Blatas"""
2971,6% Bar,Paintings,01046,Max Moran,Oil on canvas,40 x 52 in,1985,Signed Michael or Max Moran
1461,Lakeside Conversation,Paintings, 00318, Hiro Yamagata, Watercolor, 24 x 30 in, 1985, painting; exterior; lake; trees; lamppost; bench; people; Signed
2590,City Corner,Paintings,00953,Elliot Orr,Oil,23 x 29 in,1938,"painting; exterior; building; stairs; night; man; walking; Signed lower right ""Elliot Orr""; Rear tag data"
2224,Busy City,Paintings,00964,Ben Abril,Watercolor on paper,21 x 28 in,1900-1959,painting; exterior; city; street; cars; buildings; signed lower left
1463,Spring Flowers,Paintings, 00214,, Oil on canvas, 24 x 24 in,, painting; Asian; portrait; left facing; woman; hat; basket
1648,Street Scene with Building in Background,Paintings, 00643, Lucien Nuequelman, Oil on panel, 25 x 20 in, 1988," painting; Paris, France; street scene; signed Nuequelman, dated 1988"
2769,Couples,Paintings,00843,Stephen Fox,Oil on canvas,55 x 66 in,1996,"painting; street; dogs; trees; Signed ""FOX"" in lower right corner"
1708,Portrait of a Child With a Hat,Paintings, 00926, Italian, Oil on panel, 13.5 x 11.5 in, 18th Century, painting; portrait; full face; child; hat
2263,Country Scene,Paintings,00456,Alfred Vickers,Oil on canvas,34 x 48 in,,painting; landscape; trees; mountains
1599,Untitled Philip Paval Abstract Painting,Paintings, 00964, Philip Paval, Oil on board, 24 x 30 in, 1950-1970, painting; abstract art
2929,Floral Still Life,Paintings,00361,David Alfaro Siqueiros,Acrylic on panel,"31"" x 23.25""",,signed lower right
2171,The Calvary With Veronica's Veil,Paintings,00374,Flemish,Oil on panel,32 x 22 in,16th Century,painting; religious; people; cross; arch; robes; Jesus Christ
2526,Manglietia fordiana,Paintings,01056,Mang Hang Ho,Watercolor and pencil on paper,Width: 15 in; Height: 20 in.,1988,signed Ho Mang Hang lower right
2774,Mythology II,Paintings,00884,Adolfo,Acrylic on canvas,47.25 x 37.5 in,1994,painting; abstract art; blue; yellow; black; white
2851,Stations of the Cross - 12,Paintings,00444,Ben Stahl,,9' x 6',1954,painting; religious; Jesus Christ; cross; crucifixion
2920,Chinese Man,Paintings,00926,Chinese,Watercolor; needlepoint; silk,8 x 6 in,19th Century,painting; Asian; man; standing
1825,Mother and Child,Paintings, 00936, A. P. Cole, Oil, 36 x 28 in,, painting; woman; child; mirror
2644,Self Portrait,Paintings,00995,Minas Avetisyan,Oil on canvas,22 x 22 in,1928-1975,
2721,Portrait of Roommate Michael,Paintings,01046,Max Moran,Oil on panel,16 x 20 in,1988-1989,
2217,Thomas Birch oil on panel Landscape,Paintings,00185,Thomas Birch,Oil on panel,24 x 34 in,1800-1850,"painting; landscape; trees; sailing ship; water; rowboat; boy; men; ""T. BIRCH/ PHILA."" carved into back of panel"
1475,Sigmund Menkes,Paintings, 00876, Arbit Blatas, Oil on canvas, 102.00 x 76.00 cm, 20th Century, painting; portrait; right facing; man; tie; vest; unsigned
1774,Place de Village en Provence - Park Scene,Paintings, 00690, Jose Fabri-Canti, Oil on canvas, 22 x 28 in, 20th Century," painting, impressionist, landscape, figures, standing, sitting, tree, park; Signed lower right"
1425,God Bless America I Detail Ver. II #5,Paintings, 00702, Peter Max, Mixed media painting with acrylic and color giclee on canvas.," 12"" x 6""", 2008, Registration no. 242234.0000
2789,Morro Bay,Paintings,00964,Carrol T. Starr,Oil on canvas,12 x 16 in,1949,painting; ocean; beach; waves; rock
2693,Untitled Ali Golkar Painting of a Plant,Paintings,00981,Ali Golkar,Acrylic on canvas,60 x 48 in,2002,"painting; modern art; plant; Signed ""Ali"" lower left; inventory #752 on back of canvas"
2192,Three Faces,Paintings,00605,Margaret Keane,Oil on canvas,24 x 30 in,1974,"painting; women; three; Asian; fan; signed lower left ""MDH Keane '74"""
2776,Gloucester Fleet at Night,Paintings,01206,Winslow Homer,Watercolor on paper,Height: 9 5/8 in; Width: 18 5/8 in,1880,"inscribed in pencil in lower right ""Winslow Homer by C.S.H. Executor"""
1702,Seascape,Paintings, 00325, Alfredo Gomez, Oil on canvas," 36"" x 48""",, signed by artist on lower right
1479,Place de la Bastille,Paintings, 00905, Eugene Galien Laloue, Gouache, 7.5 x 12.5 in, 1854-1941," painting; cityscape; Paris, France; street; buildings; monument; people; walking; Signed lower left"
1460,Carmen,Paintings, 00685, Chris Moroney, Gesso board, 75.00 x 60.00 cm, 20th Century, painting; woman; brunette; shawl; moon; night; flowers; arches
2489,Smoking Girl,Paintings,01004,Rebecca Midwood,Acrylic on wood,24 x 48 in,1999,painting; woman; smoking; underwear; heart; Signed and dated on verso.
2046,Mums and Daisies,Paintings,00610,Rudy Colao,Oil on panel,24 x 20 in,20th Century,painting; still life; flowers; vase; signed lower left
1562,Set Design,Paintings, 00285, Nikolai Konstantinovich Kalmakov, Gouache cardboard, 40.00 x 38.00 cm,, painting; stage set; theater
1949,Coast Highway,Paintings,00964,Elizabeth Strong,Oil on canvas,14 x 29 in,1900-1962,painting; landscape; road; fence; trees
2925,Madonna and Child,Paintings,00374,,Oil and gold on panel,23 x 15 in,16th Century,painting; Byzantine; religious; Virgin Mary; Jesus Christ; child
2078,William Tecumseh Sherman,Paintings,00033,Samuel H. Lockett,Oil on canvas,"88"" x 50""",Circa 1869,Portrait of Gen. William Tecumseh Sherman; Standing; Posing behind a chair; Cut from the frame at the time of theft
1736,Luxembourg Garden,Paintings, 01158, Henri Matisse, Oil on canvas, 40.50 x 32.00 cm, 1905, painting; landscape; statue; trees; signed
2452,Giverny Bridge,Paintings,00026,Albert Malet,Oil on canvas,18 x 21 in,20th Century,painting; French; impressionism; bridge; water; flowers; trees; Signed lower right
1389,Regina Resnik in The Medium,Paintings, 00876, Arbit Blatas, Oil on carton,, 20th Century," painting; impressionism; woman; sitting; light fixture; Signed lower right ""Blatas"""
2825,Serenity,Paintings,00782,Ostor Glorig,Oil on canvas,37 x 47 in,1965-1969,painting; ocean; seascape; sailboat; signed Ostor Glorig lower left; hand carved dark wood frame
2401,Arrival at the Encampment,Paintings,00584,Pieter Wouwermans,Oil on canvas,21.5 x 27.5 in,1623-1682,painting; Dutch; exterior; horses; men; riding; tent; flag; initialed
1979,Archangel Saint Michael | Saint Michael Fighting the Devil,Paintings,00477,Spanish Colonial,Oil on canvas,89.00 x 62.00 cm,18th Century,"painting; St. Michael; devil; inscribed in gold in lower right, Cuzco style lettering"
2874,Negro Boy Riding in Donkey Cart,Paintings,00166,William Aiken Walker,Oil on board,"6 x 12 in, frame",Circa 1884,painting; cart; donkey; African-American; signed
2572,Untitled (Stick Figure),Paintings,00361,Rufino Tamayo,Oil on canvas,27 x 23.25 in,1968,Signed and dated 0-68 in lower right.
1965,Back Home Blues,Paintings,01117,Rev. SW. John Dewayne Lanham,Folk Art- canvas acrylic,8 x 8 in,2002,"Painting; black blues player sitting in front of blues house; signed name/nickname right side and SO marked on rear, code 139405 on back; frame, glass, matted"
1686,The Adoration of the Shepherds,Paintings, 00819, Giovanni Castello (called II Genovese), Tempera on vellum, 7.375 x 5.5 in, 1584," Painting; Religious; Initialed lower center ""C.B."" and dated in doorway at top ""1584."" Also initialed and dated on verso; Painting is in very good condition. No noticeable problems with the work. Tempera looks good. Frame is in good condition. Dark wood frame, matted in velvet with glass covering. Piece of paper taped to the back with text"
3009,"South Ulst, Outer Hibrides",Photographs, 00963, Paul Strand, Photograph,,, photograph; Signed; Walter Rosenblum label on the back lower left corner.
3041,"Martha Graham, American Provencials",Photographs,00963,Barbara Morgan,Paper,8 x 10 in,1935,photograph; signed
3013,The One Who Watches,Photographs, 00963, Michael Kenna, Photograph,,,
3016,Chanel Crossing,Photographs, 00963, Michael Kenna, Photograph,,, Copyright and edition number on back
3008,Flirting,Photographs, 00963, Walter Rosenblum, Photograph,,, photograph; Signed on verso.; Walter Rosenblum label on the back lower left corner.
3036,Supports de Jette,Photographs,00963,Michael Kenna,photograph,,,photograph; Michael Kenna copyright and edition number on back.
3007,Storm Warning,Photographs, 00963, Michael Kenna, Photograph,,, No Image Associated with this Item; Michael Kenna copyright and edition number in back; ed. 23/45
3062,"Jester, Near Brindisi 6/45",Photographs,00963,Linda Butler,photograph,,,
3080,"Berlin, Kurfurstensh, 1932",Photographs,01138,,Silver print photograph,Height: 4.5in.; Width: 3.5in.,1932,"titled, and dated in pencil on verso (RMG5608)"
3539,Three Vases (Large),Prints,00893,Edna Hibel,Canvas lithograph print,,20th Century,No Image Associated with this Item; Signed; Portfolio # 139
3245,La Espina,Prints,00861,Raul Anguiano,Lithograph,17 1/8 x 22 1/2 in,,"print; peasant; landscape; signed and dedicated ""por mi amigo Augusto"""
3248,Beethoven's Sonata,Prints,00926,Russian,,10 x 20 in,19th Century,lithograph; interior; musicians; piano; violin; people; sitting; chairs; Signed; Print numbered
3099,LAM,Prints, 00861, Wilfredo Lam, Ink on paper, 6.5 x 3.25 in, 1957, print; lettering; signed and dated 1957
3273,The Golden Serpent,Prints,00923,Michael Parkes,Lithograph,,20th Century,print; signed lower left# EA
3446,Grabado de Alberto Beltran,Prints,00861,Alberto Beltran,Lithograph,10.25 x 15.75 in,,"print; political cartoon; number 118 in lower left, title in lower left, signed in lower right"
3436,Paris Bourse,Prints,00363,Leroy Neiman,Lithograph,30 x 38 in,,print; building; people; group; flags; arches; Signed; #54/300
3299,Summer Breeze by Michael Parkes,Prints,00949,Michael Parkes,7-color stone print lithograph,24 x 15.75 in,1999,"lithograph; seated winged female nude in profile, arms crossed over shins, swans flying from left to right towards female figure; edition # 9/60, artist's signature; background color is eggshell/beige"
3118,Tertulia,Prints, 00861, Leopoldo Mendez, Ink on paper, 13.75 x 9.5 in, 1933," print; political cartoon; signed in pencil, lower right; paper is wrinkled"
3335,Alchime Des Philosophies (Alchemy of the Philosophers) Eel,Prints,00167,Salvador Dali,Lithograph,30 x 22 in,,print; surrealism; eel; signed; #210/225
3386,Cain,Prints,00861,Raul Anguiano,Lithograph,17 1/8 x 22 1/2 in,,"print; cain and abel; signed and dedicated ""para mi amigo Augusto"""
3250,Colette and Child,Prints,00893,Edna Hibel,Lithograph canvas,,20th Century,print; portrait; woman; infant; Signed; Portfolio # 206 - Artist Proof
3439,Rosa Gallica Gueriniana,Prints,00447,Pierre Joseph Redoute,Paper,Sheet size,1817-1824,engraving; flower; rose; Inscription on the bottom of the paper
3168,A Boss,Prints, 00777, Yoshitoshi Mori; Japan, Woodcut, 72.00 x 91.00 cm, 1977," print; Asian; man; caricature; signed, dated and stamped; #18/50"
3569,Triumph of the Courtesan,Prints,00323,Erte,Serigraph,,20th Century,print; men; woman; wings; snake; XXX/XLV
3508,Backwaters,Prints,00953,Robert Randall Burkert,,23 x 31 in,1966,print; lake; trees; Label on verso
3570,Engagement at the Circus,Prints,00451,Marc Chagall,Lithograph,17.75 x 13.5 in,,print; signed; #8/50
3499,Love and Beauty Suite,Prints,00191,Erte,Serigraph,,,print; Signed by artist; Edition XCV/CL
3541,Ancient Moral,Prints,00990,Benjamin Creme,Lithograph,"27.5"" x 21""",2010,"signed ""Creme"" lower right; edition #101/350 through #350/350 (250 prints stolen)"
3195,Manhattan Moonlight,Prints, 00779, Ellison Hoover,,, 1942-1945,
3567,The Promise,Prints,00923,Michael Parkes,Lithograph,,20th Century,print; signed lower left; Number # 43/250
3387,Zoce,Prints,00861,Angel Bracho,Lithograph,18.25 x 12.25 in,,print; political cartoon; signed lower right
3433,Untitled Alexander Calder Print,Prints,00160,Alexander Calder,Lithograph,48 x 36 in,,print; abstract art; black; red; orange; circles; Signed
3375,Juliet and Baby,Prints,00893,Edna Hibel,Lithograph canvas,,20th Century,print; portrait; woman; infant; Portfolio # 163 - Artist Proof
3201,Lincoln in Dalivision,Prints, 00453, Salvador Dali, Print, 22 x 30 in,, No Image Associated with this Item; Signed by the artist in the margin
3594,Margaret and Child,Prints,00893,Edna Hibel,Lithograph,,20th Century,print; portrait; woman; infant; cloak; Signed; Portfolio # 193
3360,Divine Comedy Series,Prints,00514,Salvador Dali,Woodcut pen and ink,14 x 9 in,20th Century,print; centaur; signed
3483,Femme Assise au Chapeau et Femme Dabout Drapee,Prints,00899,Pablo Picasso,Aquatint,,"January 29, 1934","print; woman; hat; Signed by artist; #210 from ""The Volard Suite"" edition 250"
3344,Angel Appearing to the Shepherds,Prints,00702,Rembrandt Van Rijn,"Etching, brin and drypoint on thick laid paper with threadbare margins","10.13"" x 8.5""",1634,Other number
3303,Horseman,Prints,00335,Salvador Dali,Pencil paper,,20th Century,etching; drawing; man; riding; horse; surrealism; number 18/39
3151,American Gothic,Prints, 00953, Lawrence Kupferman, Etching, 16 x 20 in, 1937,
3492,Prince of Cups,Prints,00499,Salvador Dali,print,,,surrealism; Number 7/250
3392,Elephant Stampede,Prints,00500,Leroy Reiman,serigraph on canvas,"31"" x 41""",1976,Edition marked 7/300
3324,British Transport Ships,Prints,00722,Antonio Jacobson,Print,36 x 48 in,,"print; seascape; signed lower center, title text"
3407,Sirene II,Prints,00923,Mikio Watanabe,Mezzotint Print,,20th Century,Signed lower left #5/90
3512,"Letter ""Y"" (Alphabet Series)",Prints,00561,Erte,Serigraph,15.5 x 10 in,20th Century,print; letter; Signed; # 308/350
3557,Untitled Vargas Lithograph (Nude Seated Profile),Prints,00726,Alberto Vargas,Paper,20 x 40 in,1979,"lithograph, nude woman; Signed by the artist ""all best to my friend Jeff"" "" Feb 9, 1979""; Printed"
3176,Indian Girl - Green,Prints, 00237, Andy Warhol, print,,,"; portrait; woman; #11, 14, 36, 55, 64, 66, 67-73, 83 of 100"
3424,Flower Song,Prints,00893,Edna Hibel,Lithograph,,20th Century,print; Asian; woman; basket; flowers; Signed by artist; Portfolio # 291
3292,Eva and Baby,Prints,00893,Edna Hibel,Lithograph,,20th Century,print; portrait; woman; kerchief; infant; signed; Portfolio # 465
3204,Japanese Woman (Proof),Prints, 00893, Edna Hibel, Lithograph print,, 20th Century, print; portrait; Asian; woman; Signed; Portfolio # 225 - Artist Proof
3354,Black Curve on Yellow,Prints,00999,Werner Drewes,Color woodcut,5 5/8 x 8 in,1938,proof 3
3231,La Llama do del Istincto,Prints, 00861, Raul Anguiano, Lithograph,Width: 22 1/2 in.; Height: 17 1/8 in.,," print; signed and dedicated ""para mi amigo Augusto"""
3551,The Little Empress,Prints,00893,Edna Hibel,Lithograph canvas,,20th Century,print; portrait; Asian; woman; royalty; robe; headdress; signed; Portfolio # 324
3563,F.X. McRory's Whiskey Bar,Prints,00363,Leroy Neiman,Lithograph,22 5/8 x 45 1/8 in,,print; bar; people; drinking; tables; bagpipe; ladder; Signed; #78/300
3472,Indian Chiefs - White,Prints,00237,Andy Warhol,Silkscreen,,,"print; portrait; Native American; #17, 20-45, 86 of 100"
3549,Image of three rows of multiple circles in various colors,Prints,01073,Yaacov Agam,Computer technology,"21 x 16 in, frame",20th Century,lithograph; modern art; kinetic art; circles; Signed lower right side; Numbered 96/99
3480,Origine,Prints,00923,Mikio Watanabe,Mezzotint print,,20th Century,Signed lower left #32/90
3402,"Portrait of Sir John Campbell, 4th Earl of Loudon",Prints,00840,,Paper,21.5 x 17.5 in,1755,"print; portrait; lower corner damaged and secured with cellophane trape. ""Worm holes"" in upper left portion of print. Black wood frame."
3516,Cabeza En Negro,Prints,01022,Rufino Tamayo,Mixograph,33 x 25 in,1978,"print; abstract art; green; brown; circle; signed ""R Tamayo"" possibly on the front; Number 9/100"
3517,Aetna Waking,Prints,00628,Carol Summers,Woodcut,38 x 38 in,1950's,print; abstract; signed and numbered #42/50
3456,The Embrace III,Prints,00776,Engtay,Etching print,18 x 4 7/8 in,,Number 10/175
3175,Shakti II,Prints, 00990, Benjamin Creme, Lithograph," 28"" x 21.75""", 2005," signed ""Benjamin Creme, 1964"" lower right; edition #101/350 through #350/350 (250 prints stolen)"
3510,As the Lilly Among the Thorns,Prints,00964,Willie Suzuki,Lithograph,28 x 36 in,1968,print; nude woman; reclining; Signed lower right; Artist's proof lower left
